Kecamatan,Jumlah Kasus Baru TB BTA +,Jumlah Kasus TB Anak
Andir,196,140
Antapani,225,135
Arcamanik,92,76
Astana Anyar,336,260
Babakan Ciparay,495,309
Bandung Kidul,210,87
Bandung Kulon,279,225
Bandung Wetan,72,26
Batununggal,360,198
Bojongloa Kaler,498,381
Bojongloa Kidul,333,144
Buahbatu,214,84
Cibeunying Kaler,120,78
Cibeunying Kidul,224,114
Cibiru,216,105
Cicendo,134,90
Cidadap,90,38
Cinambo,21,16
Coblong,488,212
Gedebage,72,52
Kiaracondong,298,152
Lengkong,288,156
Mandalajati,290,160
Panyileukan,68,42
Rancasari,108,78
Regol,180,117
Sukajadi,300,186
Sukasari,272,196
Sumur Bandung,94,54
Ujungberung,184,90

